Date,Store,Actual_Sales,LR_Predicted,RF_Predicted,XGB_Predicted
2012-11-30,4,7408.596349370324,7062.2687924525235,8024.872161290173,6641.392
2012-11-30,18,8167.1650087233775,7453.511689992854,7214.711091067746,7947.2876
2012-11-30,5,9180.212008041477,7258.494121569442,8507.402401092742,9833.677
2012-11-30,6,9236.78506466229,7256.8939805123955,7834.168040077176,8526.155
2012-11-30,19,8339.14610474849,5366.646771020489,9986.118443229136,8447.7
2012-11-30,15,7013.880999721399,7389.237865369534,8444.016011265334,9439.59
2012-11-30,29,8113.877177155617,7958.805205982877,8923.230598241114,8439.495
2012-11-30,28,10028.841010734412,9741.626261091558,10590.085249297983,10406.773
2012-11-30,7,10500.556635074354,10722.96498662536,11073.237601317183,11423.971
2012-11-30,16,9199.592749034691,7334.573566697538,9761.316223370928,7347.459
2012-11-30,27,8933.137776937485,8394.998973335372,6644.626036321383,9110.492
2012-11-30,8,1022.0827477408776,1269.6423604607116,6750.260882490069,6535.3945
2012-11-30,26,7403.844536104227,5674.947541028727,8722.805799793101,7161.8394
2012-11-30,40,9667.95821619276,8837.144029760268,10937.29466172964,10375.818
2012-11-30,38,11154.467787242056,9640.115259321872,10715.57633864942,10542.932
2012-11-30,41,11670.826424355806,9848.555727691622,11110.488286619458,11551.695
2012-11-30,39,9494.227589020253,8945.990858033067,10485.46007432334,10334.41
2012-11-30,31,10647.779064622162,8869.293666204205,10757.660946576398,10282.751
2012-11-30,37,9818.954211664357,7855.3789044138975,10409.119708467262,9610.398
2012-11-30,14,11733.955714849348,9232.521140504861,10970.145740253025,11492.648
2012-11-30,20,12593.166976697803,10037.43115388439,11220.304926677738,11308.433
2012-11-30,42,11473.420993304982,9341.173223861959,11524.934455073857,11926.063
2012-11-30,30,11337.596649608571,9478.532309577102,11609.733562373032,11483.575
2012-11-30,3,9986.85628152944,8609.343228389509,10126.79358808144,9894.284
2012-11-30,17,8694.437173998871,7752.016551189823,9271.621245850318,9345.176
